Date,Cases,Recovered,Deaths,,,,,
"Mar 14, 2020",1,,,,,,,
"Mar 15, 2020",4,,,Total,,,,
"Mar 16, 2020",2,,,Cases,Recovered,Deaths,,
"Mar 17, 2020",1,,,29175,26383,376,,
"Mar 18, 2020",3,,,,,,,
"Mar 19, 2020",0,,,,,,,
"Mar 20, 2020",6,,,,,,,
"Mar 21, 2020",0,,,,,,,
"Mar 22, 2020",2,,,,,,,
"Mar 23, 2020",17,,,,,,,
"Mar 24, 2020",4,,,,,,,
"Mar 25, 2020",1,,,,,,,
"Mar 26, 2020",9,,,,,,,
"Mar 27, 2020",4,,,,,,,
"Mar 28, 2020",6,,,,,,,
"Mar 29, 2020",10,,,,,,,
"Mar 30, 2020",0,,,,,,,
"Mar 31, 2020",5,,,,,,,
"Apr 1, 2020",7,,,,,,,
"Apr 2, 2020",2,,,,,,,
"Apr 3, 2020",5,,,,,,,
"Apr 4, 2020",13,,,,,,,
"Apr 5, 2020",2,4,0,,,,,
"Apr 6, 2020",1,0,0,,,,,
"Apr 7, 2020",0,3,0,,,,,
"Apr 8, 2020",5,0,0,,,,,
"Apr 9, 2020",3,0,0,,,,,
"Apr 10, 2020",5,0,0,,,,,
"Apr 11, 2020",2,11,0,,,,,
"Apr 12, 2020",6,7,0,,,,,
"Apr 13, 2020",1,17,0,,,,,
"Apr 14, 2020",7,7,0,,,,,
"Apr 15, 2020",2,5,0,,,,,
"Apr 16, 2020",2,6,0,,,,,
"Apr 17, 2020",5,5,0,,,,,
"Apr 18, 2020",1,4,0,,,,,
"Apr 19, 2020",3,7,0,,,,,
"Apr 20, 2020",0,4,0,,,,,
"Apr 21, 2020",3,4,0,,,,,
"Apr 22, 2020",3,0,0,,,,,
"Apr 23, 2020",1,3,0,,,,,
"Apr 24, 2020",22,0,0,,,,,
"Apr 25, 2020",7,1,0,,,,,
"Apr 26, 2020",8,4,0,,,,,
"Apr 27, 2020",16,1,0,,,,,
"Apr 28, 2020",5,2,0,,,,,
"Apr 29, 2020",13,3,0,,,,,
"Apr 30, 2020",18,6,0,,,,,
"May 1, 2020",6,5,0,,,,,
"May 2, 2020",6,11,0,,,,,
"May 3, 2020",4,4,0,,,,,
"May 4, 2020",2,4,0,,,,,
"May 5, 2020",0,1,0,,,,,
"May 6, 2020",7,1,0,,,,,
"May 7, 2020",3,3,0,,,,,
"May 8, 2020",2,3,0,,,,,
"May 9, 2020",7,4,0,,,,,
"May 10, 2020",4,0,0,,,,,
"May 11, 2020",1,10,0,,,,,
"May 12, 2020",1,3,0,,,,,
"May 13, 2020",1,11,0,,,,,
"May 14, 2020",0,4,0,,,,,
"May 15, 2020",0,9,0,,,,,
"May 16, 2020",2,1,0,,,,,
"May 17, 2020",3,19,0,,,,,
"May 18, 2020",5,6,0,,,,,
"May 19, 2020",11,6,0,,,,,
"May 20, 2020",6,7,0,,,,,
"May 21, 2020",6,1,0,,,,,
"May 22, 2020",1,5,0,,,,,
"May 23, 2020",4,5,0,,,,,
"May 24, 2020",2,10,0,,,,,
"May 25, 2020",9,1,0,,,,,
"May 26, 2020",3,6,0,,,,,
"May 27, 2020",7,1,0,,,,,
"May 28, 2020",3,0,0,,,,,
"May 29, 2020",6,2,0,,,,,
"May 30, 2020",4,3,1,,,,,
"May 31, 2020",11,6,0,,,,,
"Jun 1, 2020",7,6,0,,,,,
"Jun 2, 2020",7,7,1,,,,,
"Jun 3, 2020",13,2,0,,,,,
"Jun 4, 2020",13,9,0,,,,,
"Jun 5, 2020",10,2,0,,,,,
"Jun 6, 2020",11,1,0,,,,,
"Jun 7, 2020",8,7,0,,,,,
"Jun 8, 2020",12,7,0,,,,,
"Jun 9, 2020",12,3,0,,,,,
"Jun 10, 2020",13,7,0,,,,,
"Jun 11, 2020",18,6,0,,,,,
"Jun 12, 2020",16,8,0,,,,,
"Jun 13, 2020",31,11,0,,,,,
"Jun 14, 2020",41,0,0,,,,,
"Jun 15, 2020",30,6,0,,,,,
"Jun 16, 2020",24,0,0,,,,,
"Jun 17, 2020",3,9,0,,,,,
"Jun 18, 2020",7,3,0,,,,,
"Jun 19, 2020",15,1,0,,,,,
"Jun 20, 2020",41,6,0,,,,,
"Jun 21, 2020",26,2,0,,,,,
"Jun 22, 2020",59,11,0,,,,,
"Jun 23, 2020",11,1,0,,,,,
"Jun 24, 2020",32,5,0,,,,,
"Jun 25, 2020",20,9,0,,,,,
"Jun 26, 2020",8,13,0,,,,,
"Jun 27, 2020",20,15,0,,,,,
"Jun 28, 2020",22,30,0,,,,,
"Jun 29, 2020",101,0,0,,,,,
"Jun 30, 2020",24,4,0,,,,,
"Jul 1, 2020",17,33,1,,,,,
"Jul 2, 2020",21,13,0,,,,,
"Jul 3, 2020",18,19,0,,,,,
"Jul 4, 2020",11,11,0,,,,,
"Jul 5, 2020",13,44,0,,,,,
"Jul 6, 2020",8,8,0,,,,,
"Jul 7, 2020",59,20,0,,,,,
"Jul 8, 2020",22,15,0,,,,,
"Jul 9, 2020",16,13,0,,,,,
"Jul 10, 2020",42,12,0,,,,,
"Jul 11, 2020",47,28,1,,,,,
"Jul 12, 2020",38,21,0,,,,,
"Jul 13, 2020",41,26,0,,,,,
"Jul 14, 2020",38,27,0,,,,,
"Jul 15, 2020",19,15,0,,,,,
"Jul 16, 2020",38,18,0,,,,,
"Jul 17, 2020",12,41,0,,,,,
"Jul 18, 2020",54,8,1,,,,,
"Jul 19, 2020",43,15,0,,,,,
"Jul 20, 2020",47,4,0,,,,,
"Jul 21, 2020",26,10,0,,,,,
"Jul 22, 2020",34,19,0,,,,,
"Jul 23, 2020",21,22,0,,,,,
"Jul 24, 2020",19,11,0,,,,,
"Jul 25, 2020",23,7,0,,,,,
"Jul 26, 2020",69,11,0,,,,,
"Jul 27, 2020",58,57,0,,,,,
"Jul 28, 2020",47,30,0,,,,,
"Jul 29, 2020",37,31,0,,,,,
